ID,Capture date,Site type,Flyway,Site ID,Sex,Forewing length (mm),Infection status (0 or 1),Reproductive status (0 or 1),Migratory status,Stable isotope H value,Stable isotope C value,Total cardenolide concentration
442,10/7/2014,seasonal stopover,central,1,M,53.13,0,0,migrant,-144.78,-28.46,0.24594
443,10/7/2014,seasonal stopover,central,1,F,53.13,0,0,migrant,-133.64,-26.16,0.01697
444,10/7/2014,seasonal stopover,central,1,F,55.36,0,0,migrant,-127.4,-30.55,0.0839
445,10/7/2014,seasonal stopover,central,1,F,48.48,0,0,migrant,-169.02,-26.59,0.05263
446,10/7/2014,seasonal stopover,central,1,M,54.23,0,0,migrant,-114.39,-28.48,0
447,10/7/2014,seasonal stopover,central,1,M,53.09,0,0,migrant,-145.42,-26.09,0.67905
448,10/7/2014,seasonal stopover,central,1,M,50.45,0,0,migrant,-132.5,-28.61,0
449,10/7/2014,seasonal stopover,central,1,F,51.21,0,0,migrant,-146.08,-27.44,0.66772
450,10/7/2014,seasonal stopover,central,1,M,52.15,0,0,migrant,-99.38,-28.24,0
451,10/7/2014,seasonal stopover,central,1,F,54.7,0,1,migrant,-134.25,-26.04,0.87487
452,10/7/2014,seasonal stopover,central,1,F,52.57,0,0,migrant,-146.38,-26.26,0.36333
453,10/7/2014,seasonal stopover,central,1,M,52.76,0,0,migrant,-130.02,-27.93,0
454,10/8/2014,seasonal stopover,central,1,F,52.76,0,0,migrant,-112.4,-34.22,1.20966
455,10/8/2014,seasonal stopover,central,1,F,49.93,0,0,migrant,-139.34,-27.55,0.09402
456,10/8/2014,seasonal stopover,central,1,M,56.56,0,0,migrant,-121.02,-28.94,0
457,10/8/2014,seasonal stopover,central,1,F,47.15,0,0,migrant,-140.9,-27.33,0.30982
458,10/8/2014,seasonal stopover,central,1,F,50.22,0,0,migrant,-119.13,-26.3,0.02777
459,10/8/2014,seasonal stopover,central,1,M,55.46,0,0,migrant,-134.34,-27.67,0
460,10/8/2014,seasonal stopover,central,1,M,53.4,0,0,NA,NA,NA,0.93115
461,10/8/2014,seasonal stopover,central,1,M,51.64,0,0,migrant,-133.23,-27.23,0.79806
462,10/8/2014,seasonal stopover,central,1,F,53.09,1,0,migrant,-120.52,-28.45,0.33013
463,10/8/2014,seasonal stopover,central,1,M,52.74,0,0,migrant,-120.27,-32.06,0
464,10/8/2014,seasonal stopover,central,1,M,50.1,0,0,migrant,-96.09,-27.4,0.68949
465,10/8/2014,seasonal stopover,central,1,M,51.64,0,0,migrant,-122.28,-28.17,0.04547
466,10/8/2014,seasonal stopover,central,1,M,51.95,0,1,migrant,-131.97,-31.5,0
467,10/8/2014,seasonal stopover,central,1,M,55.56,0,0,migrant,-124.53,-27.39,0
468,10/8/2014,seasonal stopover,central,1,M,53.26,0,0,migrant,-137.4,-26.37,0.45174
469,10/8/2014,seasonal stopover,central,1,M,49.95,0,1,migrant,-100.95,-28.99,0
470,10/8/2014,seasonal stopover,central,1,F,53.28,0,0,migrant,-116.31,-28,0.34997
471,10/8/2014,seasonal stopover,central,1,F,53.35,0,0,migrant,-119.03,-26.48,0
472,10/8/2014,seasonal stopover,central,1,M,53.3,0,0,migrant,-105.7,-27.86,0
473,10/8/2014,seasonal stopover,central,1,F,53.97,0,0,migrant,-142.83,-27.6,0.08911
474,10/8/2014,seasonal stopover,central,1,F,50.9,0,0,migrant,-154.12,-27.38,0.31911
475,10/8/2014,seasonal stopover,central,1,F,53.64,0,0,migrant,-129.89,-29.86,0.28688
476,10/8/2014,seasonal stopover,central,1,F,52.81,0,0,migrant,-122.72,-27.26,0.36971
477,10/8/2014,seasonal stopover,central,1,M,54.13,0,NA,migrant,-118.5,-28.53,0
478,10/8/2014,seasonal stopover,central,1,F,51.86,0,0,migrant,-141.08,-27.38,0.86131
479,10/8/2014,seasonal stopover,central,1,M,49.43,0,1,migrant,-106.48,-27.36,0
480,10/8/2014,seasonal stopover,central,1,M,52.67,0,0,migrant,-127.2,-27.98,0
481,10/8/2014,seasonal stopover,central,1,F,52.05,0,0,migrant,-149.11,-27.67,0.04854
482,10/8/2014,seasonal stopover,central,1,M,53.83,0,1,migrant,-123.1,-27.45,0.73179
483,10/8/2014,seasonal stopover,central,1,F,51.08,0,0,migrant,-109.11,-28.53,0.11556
484,10/8/2014,seasonal stopover,central,1,M,52.04,0,0,migrant,-122.71,-27.44,0.71159
485,10/8/2014,seasonal stopover,central,1,M,52.96,0,0,migrant,-137.42,-29.5,0.10498
486,10/8/2014,seasonal stopover,central,1,F,51.98,0,0,migrant,-98.61,-27.12,0
487,10/8/2014,seasonal stopover,central,1,F,51.91,0,0,migrant,-146.23,-27.04,0.45392
488,10/8/2014,seasonal stopover,central,1,M,52.7,1,0,migrant,-123.52,-28.33,0
489,10/8/2014,seasonal stopover,central,1,M,55.46,0,1,migrant,-116.7,-26.43,0
490,10/8/2014,seasonal stopover,central,1,F,53.3,0,0,migrant,-125.38,-29.02,0
491,10/8/2014,seasonal stopover,central,1,F,52.76,0,0,migrant,-140.46,-26.53,0.15312
492,10/8/2014,seasonal stopover,central,1,F,55.14,0,0,migrant,-124.38,-26.36,0.04539
493,10/8/2014,seasonal stopover,central,1,M,52.84,0,0,migrant,-125.23,-25.16,0.03775
494,10/8/2014,seasonal stopover,central,1,M,49.63,0,0,migrant,-124.28,-26.48,0
495,10/8/2014,seasonal stopover,central,1,F,54.08,0,0,migrant,-111.74,-28.69,0
496,10/8/2014,seasonal stopover,central,1,M,54.46,0,0,migrant,-163.18,-27.89,0.17988
497,10/8/2014,seasonal stopover,central,1,M,51.02,0,1,migrant,-136.09,-28.22,0.02318
498,10/8/2014,seasonal stopover,central,1,F,52.48,0,0,migrant,-128.15,-29.02,0.11399
499,10/8/2014,seasonal stopover,central,1,M,54.98,0,0,migrant,-112.79,-31.25,0
500,10/8/2014,seasonal stopover,central,1,M,54.48,0,1,migrant,-115.15,-27.21,0.40587
501,10/8/2014,seasonal stopover,central,1,M,53.31,0,0,migrant,-123.8,-27.56,0
502,10/8/2014,seasonal stopover,central,1,F,53.61,1,0,migrant,-155.21,-28.19,0.31829
503,10/8/2014,seasonal stopover,central,1,F,54.44,1,0,migrant,-98,-28.69,0.96478
504,10/8/2014,seasonal stopover,central,1,F,54.19,0,0,migrant,-129.21,-28.51,0
505,10/8/2014,seasonal stopover,central,1,F,53.84,0,0,migrant,-130.26,-26.42,0.16464
506,10/8/2014,seasonal stopover,central,1,M,53.4,0,0,migrant,-121.8,-26.02,0.02717
507,10/8/2014,seasonal stopover,central,1,M,55.09,0,1,migrant,-113.74,-26.6,0
508,10/8/2014,seasonal stopover,central,1,F,53.6,0,0,migrant,-119.44,-27.84,0.35135
509,10/8/2014,seasonal stopover,central,1,F,51.62,0,0,migrant,-141,-25.53,0.48524
510,10/8/2014,seasonal stopover,central,1,M,53.81,0,0,migrant,-130.7,-27.92,0.32498
511,10/8/2014,seasonal stopover,central,1,M,47.82,0,NA,migrant,-120.78,-31.44,0
512,10/8/2014,seasonal stopover,central,1,F,53.38,0,0,migrant,-112.79,-28.96,0
513,10/8/2014,seasonal stopover,central,1,F,48.55,0,0,migrant,-114.31,-27.22,0
514,10/8/2014,seasonal stopover,central,1,M,52.16,0,0,migrant,-145.57,-29.22,0.01434
515,10/8/2014,seasonal stopover,central,1,M,55.73,0,1,migrant,-137.91,-27.52,0
516,10/8/2014,seasonal stopover,central,1,F,54.22,0,0,migrant,-114.4,-31.17,0.02167
517,10/8/2014,seasonal stopover,central,1,M,52.26,0,1,migrant,-119.25,-27.55,0.57031
518,10/8/2014,seasonal stopover,central,1,F,48.87,0,0,migrant,-142.21,-26.86,0.11628
519,10/8/2014,seasonal stopover,central,1,M,49.97,0,0,migrant,-125.56,-27.47,0
520,10/8/2014,seasonal stopover,central,1,F,50.06,0,0,migrant,-120.93,-26.88,0.11128
521,10/8/2014,seasonal stopover,central,1,M,52.99,0,0,migrant,-116.73,-29.4,0.20839
522,10/9/2014,seasonal stopover,central,3,F,51.2,0,1,migrant,-132.36,-27,0.06182
523,10/9/2014,seasonal stopover,central,3,F,53.05,0,0,migrant,-100.09,-29.69,1.39218
524,10/9/2014,seasonal stopover,central,3,M,54.73,0,0,migrant,-111.92,-29.02,0
525,10/9/2014,seasonal stopover,central,3,M,52.43,0,1,migrant,-135.62,-25.89,0.56364
526,10/9/2014,seasonal stopover,central,3,F,53.5,0,0,migrant,-135.07,-28.87,0
527,10/9/2014,seasonal stopover,central,3,F,49.61,0,0,migrant,-130.32,-25.79,0.24798
528,10/9/2014,seasonal stopover,central,3,M,49.76,0,1,migrant,-122.47,-29.43,0
529,10/9/2014,seasonal stopover,central,3,F,51.87,0,0,migrant,-139.41,-28.71,0
530,10/9/2014,seasonal stopover,central,3,F,53.14,0,0,migrant,-135.43,-27.07,0.41016
531,10/9/2014,seasonal stopover,central,3,M,51.34,0,0,migrant,-105.53,-31.15,0.11177
532,10/9/2014,seasonal stopover,central,3,F,52.74,0,0,migrant,-136.52,-27.78,0.02611
533,10/9/2014,seasonal stopover,central,3,M,55.24,0,0,migrant,-119.9,-29.29,0.12719
534,10/9/2014,seasonal stopover,central,3,M,52.69,0,0,migrant,-132.45,-23.93,0.04817
535,10/9/2014,seasonal stopover,central,3,M,52.75,0,0,migrant,-159.86,-28.24,0.46734
536,10/9/2014,seasonal stopover,central,3,F,51.54,0,0,migrant,-129.73,-26.5,0.09972
537,10/9/2014,seasonal stopover,central,3,F,53.05,0,0,migrant,-106.7,-30.54,0.28808
538,10/9/2014,seasonal stopover,central,3,F,53.51,0,0,migrant,-108.53,-28.44,0
539,10/9/2014,seasonal stopover,central,3,M,52.54,0,1,migrant,-126.24,-26.5,0
540,10/9/2014,seasonal stopover,central,3,F,55.03,0,0,migrant,-101.84,-27.76,0
541,10/9/2014,seasonal stopover,central,3,M,52.09,0,1,migrant,-119.05,-29.68,0.1543
542,10/9/2014,seasonal stopover,central,3,M,54.23,0,0,migrant,-127.04,-26.45,0.14523
546,10/10/2014,seasonal stopover,central,3,F,45.38,0,NA,migrant,-125.75,-28.26,0.35432
547,10/10/2014,seasonal stopover,central,3,F,46.68,0,NA,migrant,-114.39,-28.38,0.15887
548,10/10/2014,seasonal stopover,central,3,F,51.56,0,NA,migrant,-132.32,-30.09,0.48578
549,10/10/2014,seasonal stopover,central,3,F,52.77,0,NA,migrant,-126.88,-27.55,0.41599
550,10/10/2014,seasonal stopover,central,3,F,53.38,0,NA,migrant,-126.41,-28.78,0.0417
551,10/10/2014,seasonal stopover,central,3,F,50.93,0,NA,migrant,-119.36,-29.32,0.22704
552,10/10/2014,seasonal stopover,central,3,F,57.47,0,NA,migrant,-121.93,-27.88,0
553,10/10/2014,seasonal stopover,central,3,F,49.58,0,NA,migrant,-122.84,-27.38,0
554,10/10/2014,seasonal stopover,central,3,F,52.77,0,NA,migrant,-134.33,-25.33,1.11227
555,10/10/2014,seasonal stopover,central,3,F,51.98,0,NA,migrant,-137.78,-29.53,0.78651
556,10/10/2014,seasonal stopover,central,3,F,50.77,0,NA,migrant,-117.25,-28.39,0
557,10/10/2014,seasonal stopover,central,3,F,50.99,0,NA,migrant,-113.14,-29.15,0
558,10/10/2014,seasonal stopover,central,3,F,49.3,0,NA,migrant,-104.3,-28.71,0
559,10/10/2014,seasonal stopover,central,3,F,51.25,0,NA,migrant,-128.61,-26.2,0
560,10/10/2014,seasonal stopover,central,3,F,50.66,0,NA,migrant,-81.64,-26.66,0.01238
561,10/10/2014,seasonal stopover,central,3,F,53.33,0,NA,migrant,-129.6,-28.16,0.33596
562,10/10/2014,seasonal stopover,central,3,F,52.61,0,NA,migrant,-132.34,-27.6,0
564,10/10/2014,seasonal stopover,central,3,F,54.52,0,NA,migrant,-131.21,-25.77,0.07902
565,10/10/2014,seasonal stopover,central,3,F,51.1,0,NA,migrant,-127.18,-27.79,0.0484
566,10/10/2014,seasonal stopover,central,3,F,53.12,0,NA,migrant,-139.36,-27.73,0
567,10/11/2014,seasonal stopover,central,3,F,48.75,0,NA,migrant,-110.19,-28.26,0.08471
568,10/11/2014,seasonal stopover,central,3,F,54.65,0,NA,migrant,-141.92,-27.42,0
569,10/11/2014,seasonal stopover,central,3,F,53.57,0,NA,migrant,-104.54,-30.95,1.27085
570,10/11/2014,seasonal stopover,central,3,F,53.2,0,NA,migrant,-150.21,-26.48,0.7664
571,10/11/2014,seasonal stopover,central,3,F,55.02,0,NA,migrant,-114.5,-28.94,0.08065
572,10/12/2014,seasonal stopover,central,3,F,50.86,0,0,migrant,-142.54,-26.58,0
573,10/12/2014,seasonal stopover,central,3,F,50.6,0,NA,migrant,-107.74,-28.06,0
574,10/12/2014,seasonal stopover,central,3,F,55.15,0,NA,migrant,-127.87,-27.41,0
575,10/12/2014,seasonal stopover,central,3,F,51.39,0,NA,migrant,-128.48,-28.1,0.16246
685,10/17/14-10/20/14,seasonal stopover,central,2,F,51.28,0,0,migrant,-135.25,-26.6,0.49277
686,10/17/14-10/20/14,seasonal stopover,central,2,F,52.61,0,0,migrant,-93.95,-30.21,0.05868
687,10/17/14-10/20/14,seasonal stopover,central,2,F,50.99,0,0,migrant,-106.76,-26.94,0.16337
688,10/17/14-10/20/14,seasonal stopover,central,2,F,53.35,0,0,migrant,-125.22,-27.99,0.27559
689,10/17/14-10/20/14,seasonal stopover,central,2,M,53.98,0,0,migrant,-120.75,-27.67,1.155
690,10/17/14-10/20/14,seasonal stopover,central,2,M,52.32,0,0,migrant,-128.11,-27.93,0.61109
691,10/17/14-10/20/14,seasonal stopover,central,2,M,53.39,0,1,migrant,-119.37,-29.32,0
692,10/17/14-10/20/14,seasonal stopover,central,2,M,53.13,0,0,migrant,-134.32,-26.87,0
693,10/17/14-10/20/14,seasonal stopover,central,2,F,50.24,0,0,migrant,-113.68,-27.28,0.54812
694,10/17/14-10/20/14,seasonal stopover,central,2,M,51.09,0,0,migrant,-98.19,-28.24,0
695,10/17/14-10/20/14,seasonal stopover,central,2,F,54.12,0,0,migrant,-126.03,-27.84,0.15743
696,10/17/14-10/20/14,seasonal stopover,central,2,M,53.58,0,0,migrant,-119.99,-27.18,0
697,10/17/14-10/20/14,seasonal stopover,central,2,M,56.94,0,0,migrant,-132.27,-27.79,0
698,10/17/14-10/20/14,seasonal stopover,central,2,M,51.5,0,0,migrant,-124.88,-26.45,0
699,10/17/14-10/20/14,seasonal stopover,central,2,M,53.98,0,0,migrant,-147.76,-26.64,0.64729
700,10/17/14-10/20/14,seasonal stopover,central,2,F,51.67,0,0,migrant,-110.5,-28.22,0
701,10/17/14-10/20/14,seasonal stopover,central,2,F,52.91,0,0,migrant,-137.04,-27.3,0.3604
702,10/17/14-10/20/14,seasonal stopover,central,2,M,53.83,0,0,migrant,-128.16,-29.1,0
703,10/17/14-10/20/14,seasonal stopover,central,2,M,47.71,0,0,migrant,-101.4,-29.96,0.14771
704,10/17/14-10/20/14,seasonal stopover,central,2,M,50.38,0,0,migrant,-114.49,-28.79,0.20348
705,10/17/14-10/20/14,seasonal stopover,central,2,F,52.13,0,0,migrant,-123.17,-27.86,0.09119
706,10/17/14-10/20/14,seasonal stopover,central,2,M,55.1,0,0,migrant,-146.6,-29.19,0
707,10/17/14-10/20/14,seasonal stopover,central,2,M,49.31,0,0,migrant,-127.8,-27.44,0.57386
708,10/17/14-10/20/14,seasonal stopover,central,2,M,55.54,0,0,migrant,-126.6,-26.49,0.22928
709,10/17/14-10/20/14,seasonal stopover,central,2,M,50.04,0,0,migrant,-128.78,-27.14,0
710,10/17/14-10/20/14,seasonal stopover,central,2,M,52.02,0,0,migrant,-124.6,-28.88,0.44125
711,10/17/14-10/20/14,seasonal stopover,central,2,M,52.08,0,0,NA,NA,-28.23,0
712,10/17/14-10/20/14,seasonal stopover,central,2,M,49.31,0,0,migrant,-113.4,-32.37,0.24058
730,10/28/2014,year-round breeding,coastal,6,M,53.17,0,0,migrant,-119.67,-28.54,0.19335
731,10/17/2014,year-round breeding,coastal,6,M,52.38,1,1,resident,-92.71,-28.54,1.15152
732,10/23/2014,year-round breeding,coastal,6,M,51.44,1,1,migrant,-88.82,-27.46,0.61371
733,10/21/2014,year-round breeding,coastal,6,M,51.06,1,1,resident,-88.37,-28.21,1.15871
734,10/28/2014,year-round breeding,coastal,6,M,53.04,0,NA,migrant,-119.57,-26.38,0.25788
735,10/28/2014,year-round breeding,coastal,6,F,50.99,1,1,resident,-98.66,-28.07,2.75813
736,10/17/2014,year-round breeding,coastal,6,M,50.11,1,0,unclassifiable,-96.25,-29.45,0.44279
737,10/23/2014,year-round breeding,coastal,6,M,51.55,1,1,resident,-93.16,-30.3,1.55897
738,10/28/2014,year-round breeding,coastal,6,F,50.35,0,1,migrant,-114.25,-27.89,0.18182
739,10/28/2014,year-round breeding,coastal,6,F,51.17,1,1,unclassifiable,-104.94,-30.93,1.58863
740,10/28/2014,year-round breeding,coastal,6,M,54.17,1,1,resident,-86.46,-31.86,1.66433
741,10/17/2014,year-round breeding,coastal,6,M,49.84,1,0,migrant,-80.02,-28.84,0.16323
742,10/21/2014,year-round breeding,coastal,6,F,53.25,1,1,resident,-92.98,-29.76,1.74711
744,10/29/2014,year-round breeding,coastal,7,M,53.01,0,1,migrant,-116.96,-28.44,0
745,10/29/2014,year-round breeding,coastal,7,F,53.09,1,1,resident,-91.86,-30.18,2.7262
746,10/29/2014,year-round breeding,coastal,7,M,48.71,1,1,resident,-87.63,-29.04,2.21385
747,10/29/2014,year-round breeding,coastal,7,F,52.48,0,0,migrant,-108.24,-29.2,0
748,10/29/2014,year-round breeding,coastal,7,M,51.83,0,1,migrant,-126.2,-29.08,0.58482
749,10/29/2014,year-round breeding,coastal,7,M,52.25,1,1,resident,-98.36,-28.68,1.5691
750,10/29/2014,year-round breeding,coastal,7,M,56.6,0,0,migrant,-126.78,-28.25,0
751,10/29/2014,year-round breeding,coastal,7,M,51.26,0,0,migrant,-139.44,-27.47,0.34775
752,10/29/2014,year-round breeding,coastal,7,M,53.51,0,0,migrant,-128.23,-26.8,0.06907
753,10/29/2014,year-round breeding,coastal,7,M,54.88,0,1,migrant,-139.56,-27.74,0.54604
754,10/29/2014,year-round breeding,coastal,7,M,49.25,0,1,migrant,-110.94,-30.46,0
755,10/29/2014,year-round breeding,coastal,7,F,54.58,0,0,NA,NA,NA,0.55786
756,10/29/2014,year-round breeding,coastal,7,M,54.43,0,0,migrant,-118.17,-29.44,0
757,10/29/2014,year-round breeding,coastal,7,M,50.71,0,0,migrant,-124.28,-28.48,0.21704
758,10/29/2014,year-round breeding,coastal,7,M,52.52,0,0,migrant,-108.36,-26.28,0
759,10/29/2014,year-round breeding,coastal,7,M,53.49,0,0,migrant,-79.98,-29.64,0
760,10/29/2014,year-round breeding,coastal,7,M,53.71,0,0,migrant,-124.93,-27.58,0.29757
761,10/29/2014,year-round breeding,coastal,7,M,52.25,0,0,migrant,-116.52,-28.52,0
762,10/29/2014,year-round breeding,coastal,7,M,53.55,0,1,migrant,-109.8,-28.59,0.15535
763,10/29/2014,year-round breeding,coastal,7,M,50.1,0,0,migrant,-130.46,-28.34,0.85253
764,10/29/2014,year-round breeding,coastal,7,M,51.47,0,1,migrant,-128.85,-27.17,0.70535
765,10/29/2014,year-round breeding,coastal,7,M,52.35,0,0,migrant,-126.68,-29.62,1.31751
766,10/29/2014,year-round breeding,coastal,7,M,53.61,0,0,migrant,-124.41,-27.88,0.01503
767,10/29/2014,year-round breeding,coastal,7,F,52.66,0,0,migrant,-118.39,-29.18,0
768,10/29/2014,year-round breeding,coastal,7,M,54.48,0,1,migrant,-123.16,-27.31,0.276
769,10/29/2014,year-round breeding,coastal,7,F,51.45,0,0,migrant,-101.98,-27.98,0.67913
